,,,,,,,,,,,,,,,,,,,,,,
,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
,103,Tuesday Aug 2,boxscore,CLE,,ARI,L,3,6,,53-50,2,1.0,Gallen,McKenzie,Kennedy,2:50,N,14471,0.97,-,
,104,Wednesday Aug 3,boxscore,CLE,,ARI,W,7,4,,54-50,2,1.0,Bieber,Henry,,3:03,D,18642,0.95,+,
,105,Thursday Aug 4,boxscore,CLE,,HOU,L,0,6,,54-51,2,1.0,Verlander,Plesac,,3:03,N,16808,1.00,-,
,106,Friday Aug 5,boxscore,CLE,,HOU,L,3,9,,54-52,2,2.0,Valdez,Gaddis,,3:01,N,24712,0.97,--,
,107,Saturday Aug 6,boxscore,CLE,,HOU,W,4,1,,55-52,2,2.0,Quantrill,Garcia,,2:30,N,25327,0.91,+,
,108,Sunday Aug 7,boxscore,CLE,,HOU,W,1,0,,56-52,2,1.0,McKenzie,Javier,Clase,2:29,D,22688,0.97,++,
,109,Tuesday Aug 9,boxscore,CLE,@,DET,W,5,2,,57-52,1,Tied,Bieber,Alexander,Clase,2:41,N,16359,0.97,+++,
,110,Wednesday Aug 10,boxscore,CLE,@,DET,W,3,2,,58-52,1,up 1.0,Shaw,Hutchison,Clase,3:02,N,16560,1.02,++++,
,111,Thursday Aug 11,boxscore,CLE,@,DET,W,4,3,10,59-52,1,up 1.5,De Los Santos,Soto,Shaw,3:37,D,19036,1.01,+++++,
,112,Friday Aug 12,boxscore,CLE,@,TOR,W,8,0,,60-52,1,up 1.5,Quantrill,Berríos,,2:33,N,41677,1.07,++++++,
,113,Saturday Aug 13,boxscore,CLE,@,TOR,L,1,2,,60-53,1,up 1.5,Bass,McKenzie,Romano,2:55,D,44977,1.09,-,
,114,Sunday Aug 14,boxscore,CLE,@,TOR,W,7,2,,61-53,1,up 2.5,Bieber,Gausman,,2:54,D,41002,1.05,+,
,115,Monday Aug 15 (1),boxscore,CLE,,DET,W,4,1,,62-53,1,up 2.0,Karinchak,Vest,Clase,2:54,D,,0.95,++,
,116,Monday Aug 15 (2),boxscore,CLE,,DET,L,5,7,,62-54,1,up 2.0,Garcia,Morgan,Soto,3:01,D,16980,0.93,-,
,117,Tuesday Aug 16,boxscore,CLE,,DET,L,3,4,,62-55,1,up 1.0,Hill,Plesac,Soto,3:20,N,13503,1.00,--,
,118,Wednesday Aug 17,boxscore,CLE,,DET,W,8,4,,63-55,1,up 1.0,Shaw,Chafin,,3:14,N,14335,1.10,+,
,119,Friday Aug 19,boxscore,CLE,,CHW,W,5,2,,64-55,1,up 1.0,McKenzie,López,Clase,3:14,N,25521,1.30,++,
,120,Saturday Aug 20,boxscore,CLE,,CHW,L,0,2,,64-56,1,up 1.0,Cueto,Bieber,Hendriks,2:39,N,26179,1.26,-,
,121,Tuesday Aug 23,boxscore,CLE,@,SDP,W,3,1,,65-56,1,up 3.0,Sandlin,Clevinger,Clase,3:20,N,38166,1.05,+,
,122,Wednesday Aug 24,boxscore,CLE,@,SDP,W,7,0,,66-56,1,up 4.0,Quantrill,Snell,,3:02,D,30409,0.93,++,
,123,Thursday Aug 25,boxscore,CLE,@,SEA,L,1,3,,66-57,1,up 4.0,Gonzales,McKenzie,Muñoz,2:46,D,24028,0.94,-,
,124,Friday Aug 26,boxscore,CLE,@,SEA,L-wo,2,3,11,66-58,1,up 3.0,Murfee,Clase,,3:29,N,39870,0.91,--,
,125,Saturday Aug 27,boxscore,CLE,@,SEA,W,4,3,,67-58,1,up 3.0,Plesac,Muñoz,Clase,2:48,N,45586,0.94,+,
,126,Sunday Aug 28,boxscore,CLE,@,SEA,L,0,4,,67-59,1,up 2.0,Ray,Civale,,2:31,D,45190,0.93,-,
,127,Tuesday Aug 30,boxscore,CLE,,BAL,W,5,1,,68-59,1,up 1.5,Quantrill,Watkins,,2:37,N,12492,1.05,+,
,128,Wednesday Aug 31,boxscore,CLE,,BAL,L,0,4,,68-60,1,up 1.5,Lyles,McKenzie,,2:54,N,12221,1.03,-,
,129,Thursday Sep 1,boxscore,CLE,,BAL,L,0,3,,68-61,1,up 1.0,Bradish,Bieber,Bautista,2:41,N,11827,1.05,--,
,130,Friday Sep 2,boxscore,CLE,,SEA,L,1,6,,68-62,1,up 1.0,Castillo,Morris,,2:57,N,21923,1.09,---,
,131,Saturday Sep 3,boxscore,CLE,,SEA,L,0,4,,68-63,1,up 1.0,Ray,Curry,,3:19,N,26254,1.07,----,
,132,Sunday Sep 4,boxscore,CLE,,SEA,L,3,6,11,68-64,1,Tied,Boyd,Stephan,Flexen,3:47,D,17809,1.10,-----,
,133,Monday Sep 5,boxscore,CLE,@,KCR,W,6,5,10,69-64,1,up 1.0,Morgan,Hernández,Clase,3:17,N,11511,1.08,+,
,134,Tuesday Sep 6,boxscore,CLE,@,KCR,W,4,1,,70-64,1,up 1.5,Bieber,Bubic,Karinchak,2:32,N,12580,1.07,++,
,135,Wednesday Sep 7,boxscore,CLE,@,KCR,L-wo,1,2,,70-65,1,up 2.0,Barlow,Clase,,3:12,N,13394,0.99,-,
,136,Friday Sep 9,boxscore,CLE,@,MIN,W,7,6,,71-65,1,up 1.5,Quantrill,Bundy,Clase,3:36,N,18595,1.69,+,
,137,Saturday Sep 10,boxscore,CLE,@,MIN,W,6,4,,72-65,1,up 1.5,McKenzie,Archer,Clase,3:27,N,26073,1.50,++,
,138,Sunday Sep 11,boxscore,CLE,@,MIN,W,4,1,,73-65,1,up 2.5,Bieber,Winder,Karinchak,3:19,D,19016,1.40,+++,
,139,Monday Sep 12,boxscore,CLE,,LAA,W,5,4,,74-65,1,up 3.0,De Los Santos,Loup,Clase,3:08,N,12461,0.92,++++,
,140,Tuesday Sep 13,boxscore,CLE,,LAA,W,3,1,,75-65,1,up 3.0,McCarty,Suarez,Clase,2:58,N,14419,0.82,+++++,
