START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/07/23,07:10 PM,07:10 PM,Royals at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: Guardians Radio Network",07/07/23,07/07/23,10:10 PM,10:10 PM,FALSE,TRUE,07/07/23,06:10 PM,06:10 PM,FREE,BUSY
07/08/23,04:10 PM,04:10 PM,Royals at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: Guardians Radio Network",07/08/23,07/08/23,07:10 PM,07:10 PM,FALSE,TRUE,07/08/23,03:10 PM,03:10 PM,FREE,BUSY
07/09/23,01:40 PM,01:40 PM,Royals at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: Guardians Radio Network",07/09/23,07/09/23,04:40 PM,04:40 PM,FALSE,TRUE,07/09/23,12:40 PM,12:40 PM,FREE,BUSY
07/21/23,07:10 PM,07:10 PM,Phillies at Guardians,Progressive Field - Cleveland,"",07/21/23,07/21/23,10:10 PM,10:10 PM,FALSE,TRUE,07/21/23,06:10 PM,06:10 PM,FREE,BUSY
07/22/23,07:10 PM,07:10 PM,Phillies at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes",07/22/23,07/22/23,10:10 PM,10:10 PM,FALSE,TRUE,07/22/23,06:10 PM,06:10 PM,FREE,BUSY
07/23/23,01:40 PM,01:40 PM,Phillies at Guardians,Progressive Field - Cleveland,"",07/23/23,07/23/23,04:40 PM,04:40 PM,FALSE,TRUE,07/23/23,12:40 PM,12:40 PM,FREE,BUSY
07/24/23,07:10 PM,07:10 PM,Royals at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: Guardians Radio Network",07/24/23,07/24/23,10:10 PM,10:10 PM,FALSE,TRUE,07/24/23,06:10 PM,06:10 PM,FREE,BUSY
07/25/23,07:10 PM,07:10 PM,Royals at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: Guardians Radio Network",07/25/23,07/25/23,10:10 PM,10:10 PM,FALSE,TRUE,07/25/23,06:10 PM,06:10 PM,FREE,BUSY
07/26/23,01:10 PM,01:10 PM,Royals at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes",07/26/23,07/26/23,04:10 PM,04:10 PM,FALSE,TRUE,07/26/23,12:10 PM,12:10 PM,FREE,BUSY
08/04/23,07:10 PM,07:10 PM,White Sox at Guardians,Progressive Field - Cleveland,"Local Radio: Guardians Radio Network",08/04/23,08/04/23,10:10 PM,10:10 PM,FALSE,TRUE,08/04/23,06:10 PM,06:10 PM,FREE,BUSY
08/05/23,07:10 PM,07:10 PM,White Sox at Guardians,Progressive Field - Cleveland,"Local Radio: Guardians Radio Network",08/05/23,08/05/23,10:10 PM,10:10 PM,FALSE,TRUE,08/05/23,06:10 PM,06:10 PM,FREE,BUSY
08/06/23,12:05 PM,12:05 PM,White Sox at Guardians,Progressive Field - Cleveland,"Local TV: Peacock ----- Local Radio: Guardians Radio Network",08/06/23,08/06/23,03:05 PM,03:05 PM,FALSE,TRUE,08/06/23,11:05 AM,11:05 AM,FREE,BUSY
08/07/23,07:10 PM,07:10 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: WMMS 100.7- Guardians Radio Network",08/07/23,08/07/23,10:10 PM,10:10 PM,FALSE,TRUE,08/07/23,06:10 PM,06:10 PM,FREE,BUSY
08/08/23,07:10 PM,07:10 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: WMMS 100.7- Guardians Radio Network",08/08/23,08/08/23,10:10 PM,10:10 PM,FALSE,TRUE,08/08/23,06:10 PM,06:10 PM,FREE,BUSY
08/09/23,07:10 PM,07:10 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local TV: Bally Sports Great Lakes ----- Local Radio: WMMS 100.7- Guardians Radio Network",08/09/23,08/09/23,10:10 PM,10:10 PM,FALSE,TRUE,08/09/23,06:10 PM,06:10 PM,FREE,BUSY
08/10/23,01:10 PM,01:10 PM,Blue Jays at Guardians,Progressive Field - Cleveland,"Local Radio: WTAM 1100",08/10/23,08/10/23,04:10 PM,04:10 PM,FALSE,TRUE,08/10/23,12:10 PM,12:10 PM,FREE,BUSY
